,City,Price,Area,Location,NoofBedrooms,LiftAvailable,Resale
248,Banglore,6058000,1270,Kasavanahalli,3,1,0
249,Banglore,6279000,1320,Kasavanahalli,3,1,0
250,Banglore,5085000,1050,Kasavanahalli,2,1,0
251,Banglore,6434000,1355,Kasavanahalli,3,1,0
252,Banglore,5262000,1090,Kasavanahalli,2,1,0
253,Banglore,6681999,1485,Whitefield Hope Farm Junction,3,1,0
254,Banglore,6525000,1450,Whitefield Hope Farm Junction,3,1,0
255,Banglore,6997000,1555,Whitefield Hope Farm Junction,3,1,0
256,Banglore,6097000,1355,Whitefield Hope Farm Junction,3,1,0
257,Banglore,6120000,1360,Whitefield Hope Farm Junction,3,1,0
258,Banglore,6142000,1365,Whitefield Hope Farm Junction,3,1,0
259,Banglore,6727000,1495,Whitefield Hope Farm Junction,3,1,0
260,Banglore,6277000,1395,Whitefield Hope Farm Junction,3,1,0
261,Banglore,6750000,1500,Whitefield Hope Farm Junction,3,1,0
262,Banglore,6456999,1435,Whitefield Hope Farm Junction,3,1,0
263,Banglore,5240000,1310,Bommasandra,3,1,0
264,Banglore,4120000,1030,Bommasandra,2,1,0
265,Banglore,7012000,1275,Bellandur,3,1,0
266,Banglore,8195000,1490,Bellandur,3,1,0
267,Banglore,8050000,1706,RR Nagar,3,1,0
268,Banglore,5900000,1258,RR Nagar,2,1,0
269,Banglore,8100000,1723,RR Nagar,3,1,0
270,Banglore,6400000,1369,RR Nagar,2,1,0
271,Banglore,6275000,1335,RR Nagar,2,1,0
272,Banglore,14400000,2000,Whitefield Hope Farm Junction,3,1,0
273,Banglore,13700000,1900,Whitefield Hope Farm Junction,3,1,0
274,Banglore,11399999,1560,Whitefield Hope Farm Junction,3,1,0
275,Banglore,4500000,1097,Begur,2,1,0
276,Banglore,5240000,1310,Bommasandra,3,1,0
277,Banglore,4120000,1030,Bommasandra,2,1,0
278,Banglore,29600000,3300,JP Nagar Phase 1,4,1,0
279,Banglore,8954000,1216,Varthur,2,1,0
280,Banglore,8800000,1195,Varthur,2,1,0
281,Banglore,15400000,2321,Varthur,3,1,0
282,Banglore,11000000,1655,Varthur,3,1,0
283,Banglore,9122000,2172,Kannur on Thanisandra Main Road,3,1,0
284,Banglore,5267000,1505,Uttarahalli,3,1,0
285,Banglore,3507000,1002,Uttarahalli,2,1,0
286,Banglore,4816000,1376,Uttarahalli,3,1,0
287,Banglore,4312000,1232,Uttarahalli,2,1,0
288,Banglore,5295000,1513,Uttarahalli,3,1,0
